source_name,source_number,permit_number,permit_type,permit_type2,line1_addr,city_text,zip_cd,latitude,longitude
"Jacksons Food Stores, Inc. dba Jacksons Food Stores #108",44251.00,02-9524-22-01,Jan-00,G5,655 NW NORTH ALBANY RD,ALBANY,97321-1433,44.6455,-123.1142
"CMH Manufacturing West, Inc.",22-0005,22-0005-SI-01,SI,SI,2445 PACIFIC BLVD SW,ALBANY,97321,44.6182,-123.1138
Wastequip Manufacturing Company LLC dba Wastequip Oregon,22-0010,22-0010-ST-01,ST,ST,33710 OAKVILLE RD SW,ALBANY,97321-9479,44.5603,-123.1569
"Pacific Cast Technologies, Inc. dba ATI Cast Products",22-0011,22-0011-TV-01,TV,TV,150 QUEEN AVE SW,ALBANY,97322-3306,44.6232,-123.1024
Allann Bros. Coffee Company,22-0016,22-0016-16-01,16,G1,1852 FESCUE ST SE,ALBANY,97322-7075,44.6248,-123.0604
"Viper Northwest, Inc.",22-0043,22-0043-26-01,26,G1,480 13TH AVE SE,ALBANY,97322-3281,44.6286,-123.098
"C. G. Industries, Inc.",22-0044,22-0044-26-01,26,G1,1282 S COMMERCIAL WAY SE,ALBANY,97322-7036,44.6299,-123.0549
"South Pacific Property, LLC",22-0045,22-0045-22-01,22,G5,522 Pacific Boulevard SW,ALBANY,97321,44.6288,-123.0624
"Love's Travel Stops & Country Stores, Inc.",22-0062,22-0062-22-01,22,G5,6457 OLD SALEM ROAD,ALBANY,97321,44.698,-123.05
"Ti Squared Technologies, Inc.",22-0065,22-0065-SI-01,SI,SI,3900 WESTERN WAY NE,ALBANY,97321,44.6894,-123.0555
At Peace Pet Crematory,22-0066,22-0066-BS-01,BS,BS,35160 RIVERSIDE DR SW,ALBANY,97321,44.599,-123.1671
BRAR Inc,22-0067,22-0067-22-01,22,G5,33166 HIGHWAY 34 SE,ALBANY,97322,44.5558,-123.0659
"Arauco North America, Inc.",22-0143,22-0143-TV-01,TV,TV,2550 OLD SALEM RD NE,ALBANY,97321-7354,44.667,-123.059
"Oregon Metallurgical, LLC dba ATI Albany Operations",22-0328,22-0328-ST-01,ST,ST,530 34TH AVE SW,ALBANY,97322-3828,44.61,-123.1058
